unit_id,unit,second_id,origin,owner_name,bnetza_id,latitude,longitude,city,countrycode,description,valid_from,valid_until,deftech,old_deftech,fuel,effective_startdate,max_power,techclass,unittype,operationmode,default_node_id,voltage_level,AnnualOaMcosts,AvgEff,CapSp,Capture_Rate,CH4,ContributionMinOnl,DeSO2,InvestCosts,LeadTime,LifeTime,MaxEff,MaxSpinResPri,MinDownTime,MinOperTime,MinPower,NonSpinningReserve,NOX,PartEff,Reliab,StartUpFuelConsHot,StartUpVarCosts,SyncTimeHot,VarOaMcosts,GSSHADOWCONTENT,GSSHADOWONLINE,GSCONTENTHYDRORES,GSCONTENTSTORAGE,GSELEC,GSHEAT,GSONLINE,GSOPTIME,GSSDTIME,FlexibleToWind,IsAlwaysRunning,OutTimeStartUpCosts,SpeReserveCapability,SpinningReserve,Vgonline,MaxRes_aFRR,MaxRes_FCR,CHP_CB,Ext_CV,LoadLoss,Sto_LoadEff,Sto_MaxCharging,Sto_MaxContent,Sto_MinCharging,Sto_MinContent,CHP_MaxHeat
7362,KWK-Anlage Barby-,8517,UeNB,Cargill Deutschland GmbH,BNA0051,51.9713477,11.84768258,Barby,DE,BNA0051,33970,25569,GAS_GT_CH1_b1999,GASGT99_BKP,NAT_GAS,33970,18.0,GT_CH1,GT,CHP1,,,40.0,0.33,9.627826,0.0,0,0.0,0,440,0,35,0.3,0.2285714,1,1,5.0004,1,0,0.26,0.96,19.8,8,0,1.2,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.68,0.068,0.64,,,,,,,,28.33333
7363,Industriekraftwerk Bernburg (IKB),8519,UeNB,Solvay Chemicals GmbH,BNA0088b,51.79732754,11.74658983,Bernburg,DE,BNA0088b,34335,25569,GAS_CC_BKP_b1999,GASCC99_BKP,NAT_GAS,34335,35.0,CC_BKP,CC,CHP1,,,19.0,0.47,103.1042,0.0,0,0.0,0,950,0,35,0.52,0.1314286,4,8,10.5,0,0,0.48,0.96,122.5,8,2,1.2,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.34,0.034,0.28,,,,,,,,232.0
7364,GuD Bitterfeld,8520,UeNB,envia THERM GmbH,BNA0105,51.62325179,12.35709963,Bitterfeld,DE,BNA0105,36526,25569,GAS_CC_EXC_f2000,GASCC22_EXC,NAT_GAS,36526,106.0,CC_EXC,CC,CHP2,,,19.0,0.56,317.2321,0.0,0,0.0,0,950,0,35,0.57,0.1314286,4,8,59.996,0,0,0.53,0.96,371.0,8,2,1.2,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.4,0.04,1.831715,0.1,,,,,,,110.0
7365,HKW Halle TrothaBlock A und B,8524,UeNB,EVH GmbH,BNA0392a,51.45436898,11.99425441,Halle,DE,BNA0392a,38353,25569,GAS_CC_EXC_b1999,GASCC99_EXC,NAT_GAS,38353,97.0,CC_EXC,CC,CHP2,,,19.0,0.52,169.1799,0.0,0,0.0,0,950,0,35,0.52,0.1314286,4,8,38.8,0,0,0.48,0.96,339.5,8,2,1.2,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.34,0.034,1.423823,0.15,,,,,,,55.0
7366,HKW Halle TrothaGuD,8525,UeNB,Heizkraftwerk Halle-Trotha GmbH,BNA0392b,51.45436898,11.99425441,Halle,DE,BNA0392b,41275,25569,GAS_CC_EXC_b1999,GASCC99_EXC,NAT_GAS,41275,56.1,CC_EXC,CC,CHP2,,,19.0,0.52,169.1799,0.0,0,0.0,0,950,0,35,0.52,0.1314286,4,8,32.0004,0,0,0.48,0.96,196.35,8,2,1.2,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.34,0.034,1.423823,0.15,,,,,,,50.0
7367,GuD Leuna,8528,UeNB,InfraLeuna GmbH,BNA0592,51.30788205,12.01430528,Leuna,DE,BNA0592,35796,25569,GAS_CC_BKP_b1999,GASCC99_BKP,NAT_GAS,35796,39.0,CC_BKP,CC,CHP1,,,19.0,0.47,103.1042,0.0,0,0.0,0,950,0,35,0.57,0.1314286,4,8,20.9976,0,0,0.53,0.96,136.5,8,2,1.2,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.34,0.034,0.38,,,,,,,,138.0
7371,GuD-Ikw Staßfurt,8540,UeNB,KWG-Kraftwerksgesellschaft Staßfurt mbH,BNA0922,51.84167573,11.58172842,Staßfurt,DE,BNA0922,35065,25569,GAS_CC_BKP_b1999,GASCC99_BKP,NAT_GAS,35065,100.0,CC_BKP,CC,CHP1,,,19.0,0.47,103.1042,0.0,0,0.0,0,950,0,35,0.57,0.1314286,4,8,51.99995,0,0,0.53,0.96,350.0,8,2,1.2,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.34,0.034,0.83,,,,,,,,160.0
7373,Zielitz,8545,UeNB,K+S AG,BNA1089,52.28434965,11.62411551,Zielitz,DE,BNA1089,35065,25569,GAS_IC_CH1_b1999,GASIC99_BKP,NAT_GAS,35065,27.0,IC_CH1,IC,CHP1,,,40.0,0.35,1.011701,0.0,0,0.0,0,750,0,35,0.31,0.0,1,1,8.1,0,0,0.29,0.92,29.7,8,0,1.53,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.0,0.0,6.64,,,,,,,,7.833333
7374,SteinitzGUD,8552,UeNB,GDF SUEZ E&P DEUTSCHLAND GMBH,BNA1403,52.80117941,11.24890518,Steinitz,DE,BNA1403,34700,25569,GAS_GT_CH1_b1999,GASGT99_BKP,NAT_GAS,34700,11.35,GT_CH1,GT,CHP1,,,40.0,0.33,9.627826,0.0,0,0.0,0,440,0,35,0.3,0.2285714,1,1,2.999805,1,0,0.26,0.96,12.485,8,0,1.2,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.68,0.068,1.13,,,,,,,,10.02692
7375,Heizkraftwerk Stendal,8566,UeNB,VASA Kraftwerke-Pool GmbH & Co. KG,BNA1489,52.61404038,11.87592665,Stendal,DE,BNA1489,34335,25569,GAS_IC_CH1_b1999,GASIC99_BKP,NAT_GAS,34335,22.0,IC_CH1,IC,CHP1,,,40.0,0.35,1.011701,0.0,0,0.0,0,750,0,35,0.31,0.0,1,1,3.9996,0,0,0.27,0.92,24.2,8,0,1.53,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.0,0.0,0.9,,,,,,,,24.4
